surah,ayah,arabic_text,translation,footnotes
100,1,وَٱلۡعَٰدِيَٰتِ ضَبۡحٗا,Thề bởi những con chiến mã hùng hậu ra trận.,
100,2,فَٱلۡمُورِيَٰتِ قَدۡحٗا,Với những móng chân bắn ra tia lửa.,
100,3,فَٱلۡمُغِيرَٰتِ صُبۡحٗا,Tấn công vào lúc bình minh.,
100,4,فَأَثَرۡنَ بِهِۦ نَقۡعٗا,Làm tung bụi mịt mù.,
100,5,فَوَسَطۡنَ بِهِۦ جَمۡعًا,Đồng loạt xông thẳng vào lòng quân địch.,
100,6,إِنَّ ٱلۡإِنسَٰنَ لِرَبِّهِۦ لَكَنُودٞ,"Thật vậy, đối với Thượng Đế của mình, con người thường vô ơn.",
100,7,وَإِنَّهُۥ عَلَىٰ ذَٰلِكَ لَشَهِيدٞ,Chính y sẽ làm chứng cho điều đó.,
100,8,وَإِنَّهُۥ لِحُبِّ ٱلۡخَيۡرِ لَشَدِيدٌ,"Quả thật, y quá đỗi yêu thích tiền tài và của cải.",
100,9,۞ أَفَلَا يَعۡلَمُ إِذَا بُعۡثِرَ مَا فِي ٱلۡقُبُورِ,Y không biết rồi đây những gì nằm trong mộ đều bị quật lên ư?,
100,10,وَحُصِّلَ مَا فِي ٱلصُّدُورِ,Và những bí mật trong lòng đều được phơi bày?,
100,11,إِنَّ رَبَّهُم بِهِمۡ يَوۡمَئِذٖ لَّخَبِيرُۢ,"Quả thật, vào Ngày đó, Thượng Đế của họ thông toàn mọi điều.",
