surah,ayah,arabic_text,translation,footnotes
101,1,ٱلۡقَارِعَةُ,1. Al-Qâri‘ah (the striking Hour i.e. the Day of Resurrection).,
101,2,مَا ٱلۡقَارِعَةُ, 2. What is the striking (Hour)?,
101,3,وَمَآ أَدۡرَىٰكَ مَا ٱلۡقَارِعَةُ, 3. And what will make you know what the striking (Hour) is?,
101,4,يَوۡمَ يَكُونُ ٱلنَّاسُ كَٱلۡفَرَاشِ ٱلۡمَبۡثُوثِ, 4. It is a Day whereon mankind will be like moths scattered about.,
101,5,وَتَكُونُ ٱلۡجِبَالُ كَٱلۡعِهۡنِ ٱلۡمَنفُوشِ, 5. And the mountains will be like carded wool.,
101,6,فَأَمَّا مَن ثَقُلَتۡ مَوَٰزِينُهُۥ," 6. Then as for him whose balance (of good deeds) will be heavy,[1]",(V.101:6) See footnote of (V.7:8).
101,7,فَهُوَ فِي عِيشَةٖ رَّاضِيَةٖ, 7. He will live a pleasant life (in Paradise).,
101,8,وَأَمَّا مَنۡ خَفَّتۡ مَوَٰزِينُهُۥ," 8. But as for him whose balance (of good deeds) will be light,",
101,9,فَأُمُّهُۥ هَاوِيَةٞ," 9. He will have his home in Hâwiyah (pit, i.e. Hell).",
101,10,وَمَآ أَدۡرَىٰكَ مَا هِيَهۡ, 10. And what will make you know what it is?,
101,11,نَارٌ حَامِيَةُۢ, 11. (It is) a fiercely blazing Fire!,
