surah,ayah,arabic_text,translation,footnotes
77,1,وَٱلۡمُرۡسَلَٰتِ عُرۡفٗا,1. நன்மைக்காக அனுப்பப்படுபவர்கள் மீது சத்தியமாக!,
77,2,فَٱلۡعَٰصِفَٰتِ عَصۡفٗا,2. இன்னும் அதி வேகமாகச் செல்லும் (புயல்) காற்றுகள் மீது சத்தியமாக!,
77,3,وَٱلنَّٰشِرَٰتِ نَشۡرٗا,3.(மேகங்களை பல திசைகளில்) பரப்பிவிடுபவர்கள் மீதும் சத்தியமாக! ,
77,4,فَٱلۡفَٰرِقَٰتِ فَرۡقٗا,"4. (உண்மை, பொய்களுக்கிடையில்) தெளிவாகப் பிரித்தறிவிப்பவை(யான வேதங்கள்) மீதும் சத்தியமாக!",
77,5,فَٱلۡمُلۡقِيَٰتِ ذِكۡرًا,"5, 6. மன்னிப்பு அல்லது எச்சரிக்கையாக இருக்கும் நல்லுரைகளை (வஹ்யின் மூலம் இறைத்தூதர்களுக்கு) எடுத்துரைப்பவர்கள் மீதும் சத்தியமாக!",
77,6,عُذۡرًا أَوۡ نُذۡرًا,"5, 6. மன்னிப்பு அல்லது எச்சரிக்கையாக இருக்கும் நல்லுரைகளை (வஹ்யின் மூலம் இறைத்தூதர்களுக்கு) எடுத்துரைப்பவர்கள் மீதும் சத்தியமாக!",
77,7,إِنَّمَا تُوعَدُونَ لَوَٰقِعٞ,7. நிச்சயமாக உங்களுக்குப் பயமுறுத்தப்படும் (நாள்) வந்தே தீரும்.,
77,8,فَإِذَا ٱلنُّجُومُ طُمِسَتۡ,"8. அந்நேரத்தில், நட்சத்திரங்கள் அழிக்கப்பட்டுவிடும்.",
77,9,وَإِذَا ٱلسَّمَآءُ فُرِجَتۡ,9. அப்போது வானம் திறக்கப்பட்டுவிடும்.,
77,10,وَإِذَا ٱلۡجِبَالُ نُسِفَتۡ,10. அப்போது மலைகள் (தூசிகளைப் போல்) தவிடு பொடியாக்கப்படும்.,
77,11,وَإِذَا ٱلرُّسُلُ أُقِّتَتۡ,11. அப்போது தூதர்கள் விசாரணைக்காகக் கொண்டு வரப்படுவார்கள்.,
77,12,لِأَيِّ يَوۡمٍ أُجِّلَتۡ,12. (இவை எல்லாம்) எதுவரை பிற்படுத்தப்பட்டிருக்கின்றன (என்பதை நபியே! நீர் அறிவீரா)?,
77,13,لِيَوۡمِ ٱلۡفَصۡلِ,13. தீர்ப்பு கூறப்படும் நாள் வரைதான்!,
77,14,وَمَآ أَدۡرَىٰكَ مَا يَوۡمُ ٱلۡفَصۡلِ,14. (நபியே!) தீர்ப்பு கூறப்படும் நாளின் தன்மையை நீர் அறிவீரா?.,
77,15,وَيۡلٞ يَوۡمَئِذٖ لِّلۡمُكَذِّبِينَ,15. (நம் வசனங்களைப்) பொய்யாக்கியவர்களுக்கு அந்நாளில் கேடுதான். ,
77,16,أَلَمۡ نُهۡلِكِ ٱلۡأَوَّلِينَ,16. (அதைப் பொய்யாக்கிக் கொண்டிருந்த) முன்னிருந்தவர்களையும் நாம் அழித்துவிடவில்லையா?,
77,17,ثُمَّ نُتۡبِعُهُمُ ٱلۡأٓخِرِينَ,"17. அதற்கு பின்னுள்ளவர்களையும் (அழிந்து போன அவர்களைப்) பின்தொடரும்படி நாம் செய்வோம்,",
77,18,كَذَٰلِكَ نَفۡعَلُ بِٱلۡمُجۡرِمِينَ,"18. (அவர்களையும் அழித்தோம்.) அவ்வாறே, இக்குற்றவாளிகளையும் நாம் (அழிந்துபோகச்) செய்வோம்.",
77,19,وَيۡلٞ يَوۡمَئِذٖ لِّلۡمُكَذِّبِينَ,"19. ஆகவே, (நம் வசனங்களைப்) பொய்யாக்குபவர்களுக்கு அந்நாளில் கேடுதான்!",
77,20,أَلَمۡ نَخۡلُقكُّم مِّن مَّآءٖ مَّهِينٖ,20. ஓர் அற்பத் துளியைக் கொண்டு நாம் உங்களைப் படைக்கவில்லையா?,
77,21,فَجَعَلۡنَٰهُ فِي قَرَارٖ مَّكِينٍ,"21, 22. அதை(ப் பத்திரமாக) உறுதிமிக்க (கர்ப்ப) ஸ்தானத்தில் குறிப்பிட்ட காலம் வரை தங்கும்படி நாம் செய்தோம்,",
77,22,إِلَىٰ قَدَرٖ مَّعۡلُومٖ,"21, 22. அதை(ப் பத்திரமாக) உறுதிமிக்க (கர்ப்ப) ஸ்தானத்தில் குறிப்பிட்ட காலம் வரை தங்கும்படி நாம் செய்தோம்,",
77,23,فَقَدَرۡنَا فَنِعۡمَ ٱلۡقَٰدِرُونَ,23. பின்னர் நாமே அதை (மனிதனாகவும்) நிர்ணயம் செய்தோம். நிர்ணயம் செய்பவர்களில் நாமே மிக மேலானோர்.,
77,24,وَيۡلٞ يَوۡمَئِذٖ لِّلۡمُكَذِّبِينَ,"24. ஆகவே, (இவற்றைப்) பொய்யாக்குபவர்களுக்கு அந்நாளில் கேடுதான்!  ",
