surah,ayah,arabic_text,translation,footnotes
84,1,إِذَا ٱلسَّمَآءُ ٱنشَقَّتۡ,Göy yarılacağı,
84,2,وَأَذِنَتۡ لِرَبِّهَا وَحُقَّتۡ,və Rəbbini dinləyib boyun əyməyə hazır olacağı zaman;,
84,3,وَإِذَا ٱلۡأَرۡضُ مُدَّتۡ,"Yer dümdüz ediləcəyi,",
84,4,وَأَلۡقَتۡ مَا فِيهَا وَتَخَلَّتۡ,içindəkiləri (kənara) atıb boşalacağı,
84,5,وَأَذِنَتۡ لِرَبِّهَا وَحُقَّتۡ,və Rəbbini dinləyib boyun əyməyə hazır olacağı zaman;,
84,6,يَٰٓأَيُّهَا ٱلۡإِنسَٰنُ إِنَّكَ كَادِحٌ إِلَىٰ رَبِّكَ كَدۡحٗا فَمُلَٰقِيهِ,Ey insan! Sən səy göstərib Rəbbinə tərəf can atırsan. Sən Onunla qarşılaşacaqsan!,
84,7,فَأَمَّا مَنۡ أُوتِيَ كِتَٰبَهُۥ بِيَمِينِهِۦ,"Kimin kitabı sağ əlinə veriləcəksə,",
84,8,فَسَوۡفَ يُحَاسَبُ حِسَابٗا يَسِيرٗا,"o, yüngül haqq-hesaba çəkiləcək",
84,9,وَيَنقَلِبُ إِلَىٰٓ أَهۡلِهِۦ مَسۡرُورٗا,və ailəsinə sevinərək dönəcək!,
84,10,وَأَمَّا مَنۡ أُوتِيَ كِتَٰبَهُۥ وَرَآءَ ظَهۡرِهِۦ,"Kimin kitabı arxa tərəfindən (sol əlinə) veriləcəksə,",
84,11,فَسَوۡفَ يَدۡعُواْ ثُبُورٗا,o (özünə) ölüm diləyəcək,
84,12,وَيَصۡلَىٰ سَعِيرًا,və alovlu atəşə atılacaq!,
84,13,إِنَّهُۥ كَانَ فِيٓ أَهۡلِهِۦ مَسۡرُورًا,"O, (dünyada ikən) ailəsində sevinc içində idi",
84,14,إِنَّهُۥ ظَنَّ أَن لَّن يَحُورَ,Çünki o heç bir zaman (Rəbbinin hüzuruna) qayıtmayacağını zənn edirdi.,
84,15,بَلَىٰٓۚ إِنَّ رَبَّهُۥ كَانَ بِهِۦ بَصِيرٗا,"Xeyr! Sözsüz ki, Rəbbi onu görürdü.",
84,16,فَلَآ أُقۡسِمُ بِٱلشَّفَقِ,"And içirəm şəfəqə,",
84,17,وَٱلَّيۡلِ وَمَا وَسَقَ,"Gecəyə və (gecənin) ağuşuna aldıqlarına,",
84,18,وَٱلۡقَمَرِ إِذَا ٱتَّسَقَ,bədirlənmiş aya!,
84,19,لَتَرۡكَبُنَّ طَبَقًا عَن طَبَقٖ,(Ey insanlar!) Siz mütləq haldan-hala düşəcəksiniz.,
84,20,فَمَا لَهُمۡ لَا يُؤۡمِنُونَ,"Onlara nə olub ki, iman gətirmirlər?",
84,21,وَإِذَا قُرِئَ عَلَيۡهِمُ ٱلۡقُرۡءَانُ لَا يَسۡجُدُونَۤ۩,Onlara Quran oxunduqda səcdə etmirlər?,
84,22,بَلِ ٱلَّذِينَ كَفَرُواْ يُكَذِّبُونَ,"Əksinə, küfr edənlər (haqqı) yalan sayırlar.",
84,23,وَٱللَّهُ أَعۡلَمُ بِمَا يُوعُونَ,Allah onların nəyi gizlətdiklərini çox yaxşı bilir!,
84,24,فَبَشِّرۡهُم بِعَذَابٍ أَلِيمٍ,Elə isə onları ağrılı-acılı bir əzabla müjdələ!,
84,25,إِلَّا ٱلَّذِينَ ءَامَنُواْ وَعَمِلُواْ ٱلصَّٰلِحَٰتِ لَهُمۡ أَجۡرٌ غَيۡرُ مَمۡنُونِۭ,İman gətirib yaxşı işlər görənlər istisna olmaqla! Onlar üçün tükənməz mükafat vardır.,
