surah,ayah,arabic_text,translation,footnotes
78,1,عَمَّ يَتَسَآءَلُونَ,(مۇشرىكلار ئۆزئارا نېمە توغرۇلۇق) سورىشىدۇ؟[1],
78,2,عَنِ ٱلنَّبَإِ ٱلۡعَظِيمِ,ئۇلار چوڭ بىر خەۋەر (يەنى قىيامەت توغرۇلۇق) سورىشىدۇ[2].,
78,3,ٱلَّذِي هُمۡ فِيهِ مُخۡتَلِفُونَ,ئۇلار شۇ (يەنى قىيامەت) توغرىسىدا ئىختىلاپ قىلىشقۇچىلاردۇر[3]. ,
78,4,كَلَّا سَيَعۡلَمُونَ, ھەرگىز ئۇنداق ئەمەس (قىيامەت ئۇلارنىڭ ئويلىغىنىدەك يالغان ئەمەس)، ئۇلار (ھەقىقىي ئەھۋالنى) كەلگۈسىدە بىلىدۇ[4].,
78,5,ثُمَّ كَلَّا سَيَعۡلَمُونَ,ھەرگىز ئۇنداق ئەمەس، ئۇلار (بېشىغا كەلگەن ئازابنى) كەلگۈسىدە بىلىدۇ[5].,
78,6,أَلَمۡ نَجۡعَلِ ٱلۡأَرۡضَ مِهَٰدٗا,(زېمىننىڭ ئۈستىدە مۇقىملىشىشىڭلار ۋە كەڭ تۈزلەڭلىكلەرگە زىرائەت تېرىپ پايدىلىنىشىڭلار ئۈچۈن) زېمىننى بىسات قىلمىدۇقمۇ؟[6],
78,7,وَٱلۡجِبَالَ أَوۡتَادٗا, (زېمىننىڭ تەۋرەپ كەتمەسلىكى ئۈچۈن) تاغلارنى قوزۇق قىلمىدۇقمۇ؟[7],
78,8,وَخَلَقۡنَٰكُمۡ أَزۡوَٰجٗا,سىلەرنى ئەر ـ ئايال قىلىپ ياراتتۇق[8].,
78,9,وَجَعَلۡنَا نَوۡمَكُمۡ سُبَاتٗا,ئۇيقۇنى سىلەرنىڭ (بەدىنىڭلار ئۈچۈن) راھەت قىلدۇق[9].,
78,10,وَجَعَلۡنَا ٱلَّيۡلَ لِبَاسٗا,كېچىنى لىباس قىلدۇق[10].,
78,11,وَجَعَلۡنَا ٱلنَّهَارَ مَعَاشٗا,كۈندۈزنى (سىلەر) تىرىكچىلىك قىلىدىغان (ۋاقىت) قىلدۇق[11].,
