surah,ayah,arabic_text,translation,footnotes
88,1,هَلۡ أَتَىٰكَ حَدِيثُ ٱلۡغَٰشِيَةِ,Sudah datangkah kepadamu berita (tentang) hari pembalasan?,
88,2,وُجُوهٞ يَوۡمَئِذٍ خَٰشِعَةٌ,"Banyak muka pada hari itu tunduk terhina,",
88,3,عَامِلَةٞ نَّاصِبَةٞ,"bekerja keras lagi kepayahan,",
88,4,تَصۡلَىٰ نَارًا حَامِيَةٗ,"memasuki api yang sangat panas (neraka),",
88,5,تُسۡقَىٰ مِنۡ عَيۡنٍ ءَانِيَةٖ,diberi minum (dengan air) dari sumber yang sangat panas.,
88,6,لَّيۡسَ لَهُمۡ طَعَامٌ إِلَّا مِن ضَرِيعٖ,"Mereka tiada memperoleh makanan selain dari pohon yang berduri,",
88,7,لَّا يُسۡمِنُ وَلَا يُغۡنِي مِن جُوعٖ,yang tidak menggemukkan dan tidak pula menghilangkan lapar.,
88,8,وُجُوهٞ يَوۡمَئِذٖ نَّاعِمَةٞ,"Banyak muka pada hari itu berseri-seri,",
88,9,لِّسَعۡيِهَا رَاضِيَةٞ,"merasa senang karena usahanya,",
88,10,فِي جَنَّةٍ عَالِيَةٖ,"dalam surga yang tinggi,",
88,11,لَّا تَسۡمَعُ فِيهَا لَٰغِيَةٗ,tidak kamu dengar di dalamnya perkataan yang tidak berguna.,
88,12,فِيهَا عَيۡنٞ جَارِيَةٞ,Di dalamnya ada mata air yang mengalir.,
88,13,فِيهَا سُرُرٞ مَّرۡفُوعَةٞ,"Di dalamnya ada takhta-takhta yang ditinggikan,",
88,14,وَأَكۡوَابٞ مَّوۡضُوعَةٞ,"dan gelas-gelas yang terletak (di dekatnya),",
88,15,وَنَمَارِقُ مَصۡفُوفَةٞ,"dan bantal-bantal sandaran yang tersusun,",
88,16,وَزَرَابِيُّ مَبۡثُوثَةٌ,dan permadani-permadani yang terhampar.,
88,17,أَفَلَا يَنظُرُونَ إِلَى ٱلۡإِبِلِ كَيۡفَ خُلِقَتۡ,"Maka apakah mereka tidak memperhatikan unta, bagaimana dia diciptakan,",
88,18,وَإِلَى ٱلسَّمَآءِ كَيۡفَ رُفِعَتۡ,"Dan langit, bagaimana ia ditinggikan?",
88,19,وَإِلَى ٱلۡجِبَالِ كَيۡفَ نُصِبَتۡ,"Dan gunung-gunung, bagaimana ia ditegakkan?",
88,20,وَإِلَى ٱلۡأَرۡضِ كَيۡفَ سُطِحَتۡ,"Dan bumi, bagaimana ia dihamparkan?",
88,21,فَذَكِّرۡ إِنَّمَآ أَنتَ مُذَكِّرٞ,"Maka berilah peringatan, karena sesungguhnya kamu hanyalah orang yang memberi peringatan.",
88,22,لَّسۡتَ عَلَيۡهِم بِمُصَيۡطِرٍ,"Kamu bukanlah orang yang berkuasa atas mereka,",
88,23,إِلَّا مَن تَوَلَّىٰ وَكَفَرَ,"tetapi orang yang berpaling dan kafir,",
88,24,فَيُعَذِّبُهُ ٱللَّهُ ٱلۡعَذَابَ ٱلۡأَكۡبَرَ,maka Allah akan mengazabnya dengan azab yang besar.,
88,25,إِنَّ إِلَيۡنَآ إِيَابَهُمۡ,"Sesungguhnya kepada Kami-lah kembali mereka,",
88,26,ثُمَّ إِنَّ عَلَيۡنَا حِسَابَهُم,kemudian sesungguhnya kewajiban Kami-lah menghisab mereka.,
